ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203650_at	2.42e-02	7.00e-03	-2.77	-3.028128	-0.61221594	PROCR	protein C receptor
218267_at	2.42e-02	7.01e-03	2.77	-3.029908	0.28525645	CINP	cyclin dependent kinase 2 interacting protein
223059_s_at	2.43e-02	7.04e-03	-2.76	-3.034035	-0.18361387	FAM107B	family with sequence similarity 107 member B
1567361_at	2.43e-02	7.05e-03	-2.76	-3.034933	-1.08617939	BDNF-AS	BDNF antisense RNA
218319_at	2.43e-02	7.05e-03	2.76	-3.035402	0.36321111	PELI1	pellino E3 ubiquitin protein ligase 1
211296_x_at	2.44e-02	7.06e-03	2.76	-3.036497	0.32324795	UBC	ubiquitin C
238721_at	2.44e-02	7.07e-03	-2.76	-3.037663	-0.74077591	MDH1B	malate dehydrogenase 1B
208763_s_at	2.44e-02	7.07e-03	2.76	-3.03791	0.29652309	TSC22D3	TSC22 domain family member 3
226850_at	2.44e-02	7.07e-03	-2.76	-3.038212	-0.29019941	SUMF1	sulfatase modifying factor 1
222572_at	2.44e-02	7.08e-03	-2.76	-3.039268	-0.33516179	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1
230669_at	2.44e-02	7.09e-03	-2.76	-3.03972	-0.22408843	RASA2	RAS p21 protein activator 2
210185_at	2.44e-02	7.09e-03	-2.76	-3.039826	-0.8379105	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
233949_s_at	2.45e-02	7.10e-03	2.76	-3.041126	0.87071467	MYH7B	myosin heavy chain 7B
218986_s_at	2.45e-02	7.10e-03	2.76	-3.041145	0.52624487	DDX60	DEXD/H-box helicase 60
207460_at	2.45e-02	7.10e-03	-2.76	-3.041485	-0.41175244	GZMM	granzyme M
205518_s_at	2.45e-02	7.10e-03	-2.76	-3.041878	-0.26393092	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene
222217_s_at	2.45e-02	7.11e-03	2.76	-3.042403	0.34472471	SLC27A3	solute carrier family 27 member 3
1570242_x_at	2.45e-02	7.11e-03	2.76	-3.043287	0.7373965	SPATA21	spermatogenesis associated 21
219564_at	2.45e-02	7.12e-03	-2.76	-3.044486	-0.83603378	KCNJ16	potassium voltage-gated channel subfamily J member 16
208494_at	2.45e-02	7.13e-03	2.76	-3.045098	0.18358789	SLC6A7	solute carrier family 6 member 7
208585_at	2.45e-02	7.13e-03	-2.76	-3.0452	-0.68115223	BTN2A3P	butyrophilin subfamily 2 member A3, pseudogene
215532_x_at	2.46e-02	7.14e-03	-2.76	-3.046253	-0.57247744	ZNF492	zinc finger protein 492
230263_s_at	2.46e-02	7.14e-03	2.76	-3.046678	0.33835151	DOCK5	dedicator of cytokinesis 5
1554971_at	2.46e-02	7.15e-03	-2.76	-3.047159	-0.654393	OK/SW-CL.58	OK/SW-CL.58
226968_at	2.46e-02	7.15e-03	2.76	-3.048324	0.33908445	KIF1B	kinesin family member 1B
214049_x_at	2.46e-02	7.16e-03	-2.76	-3.049529	-0.41696755	CD7	CD7 molecule
1552811_at	2.46e-02	7.17e-03	2.76	-3.049779	0.64098373	WFIKKN1	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
225950_at	2.47e-02	7.18e-03	-2.76	-3.050874	-0.28036193	SAMD8	sterile alpha motif domain containing 8
204829_s_at	2.47e-02	7.18e-03	2.76	-3.051939	0.3926817	FOLR2	folate receptor beta
38487_at	2.47e-02	7.19e-03	2.76	-3.052267	0.46179375	STAB1	stabilin 1
214607_at	2.48e-02	7.21e-03	-2.76	-3.054882	-0.76869992	PAK3	p21 (RAC1) activated kinase 3
209695_at	2.48e-02	7.21e-03	-2.76	-3.055228	-0.34545209	PTP4A3	protein tyrosine phosphatase type IVA, member 3
217113_at	2.48e-02	7.22e-03	2.76	-3.056202	0.80310987	AMACR	alpha-methylacyl-CoA racemase
239913_at	2.48e-02	7.22e-03	-2.76	-3.05628	-1.18265294	SLC10A4	solute carrier family 10 member 4
204891_s_at	2.48e-02	7.22e-03	-2.76	-3.056427	-0.37379515	LCK	LCK proto-oncogene, Src family tyrosine kinase
230027_s_at	2.48e-02	7.22e-03	2.76	-3.056552	0.36499969	MRPL43	mitochondrial ribosomal protein L43
221266_s_at	2.48e-02	7.23e-03	2.76	-3.057222	0.8070681	DCSTAMP	dendrocyte expressed seven transmembrane protein
1552742_at	2.48e-02	7.23e-03	-2.76	-3.057951	-0.72822633	KCNH8	potassium voltage-gated channel subfamily H member 8
239067_s_at	2.48e-02	7.23e-03	2.76	-3.058108	0.75984254	PANX2	pannexin 2
224057_s_at	2.48e-02	7.24e-03	2.76	-3.058985	0.3231191	THAP4	THAP domain containing 4
243357_at	2.48e-02	7.24e-03	-2.75	-3.05922	-0.8372189	NEGR1	neuronal growth regulator 1
213374_x_at	2.49e-02	7.25e-03	-2.75	-3.059735	-0.23444	HIBCH	3-hydroxyisobutyryl-CoA hydrolase
235483_at	2.49e-02	7.25e-03	2.75	-3.06004	0.47173287	STX3	syntaxin 3
215503_at	2.49e-02	7.25e-03	-2.75	-3.060259	-0.47952739	SPINT3	serine peptidase inhibitor, Kunitz type 3
205704_s_at	2.49e-02	7.25e-03	-2.75	-3.060663	-0.21587714	ATP6V0A2	ATPase H+ transporting V0 subunit a2
227651_at	2.49e-02	7.26e-03	2.75	-3.061714	0.16237749	NACC1	nucleus accumbens associated 1
223050_s_at	2.49e-02	7.27e-03	2.75	-3.062289	0.19416447	FBXW5	F-box and WD repeat domain containing 5
226536_at	2.49e-02	7.27e-03	2.75	-3.062324	0.16654461	NSMCE2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase
1562387_at	2.49e-02	7.27e-03	-2.75	-3.062698	-0.8677704	C5orf42	chromosome 5 open reading frame 42
212247_at	2.49e-02	7.27e-03	-2.75	-3.062848	-0.18721164	NUP205	nucleoporin 205
224626_at	2.49e-02	7.28e-03	2.75	-3.06353	0.17907068	SLC35A4	solute carrier family 35 member A4
206775_at	2.49e-02	7.28e-03	-2.75	-3.063789	-0.71814574	CUBN	cubilin
1564165_at	2.49e-02	7.28e-03	-2.75	-3.064008	-0.84447316	LOC100630923	LOC100289561-PRKRIP1 readthrough
234993_at	2.49e-02	7.28e-03	-2.75	-3.064329	-0.49518977	ABHD13	abhydrolase domain containing 13
226321_at	2.49e-02	7.29e-03	-2.75	-3.065103	-0.30269591	LYSMD3	LysM domain containing 3
218429_s_at	2.50e-02	7.30e-03	2.75	-3.066572	0.29064275	C19orf66	chromosome 19 open reading frame 66
225866_at	2.50e-02	7.31e-03	2.75	-3.067487	0.18506294	RPF2	ribosome production factor 2 homolog
225588_s_at	2.50e-02	7.32e-03	2.75	-3.068923	0.1756851	TMEM129	transmembrane protein 129
229345_at	2.51e-02	7.34e-03	-2.75	-3.071081	-0.68007826	RTN4RL2	reticulon 4 receptor-like 2
205348_s_at	2.51e-02	7.35e-03	-2.75	-3.072245	-0.60584099	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1
212532_s_at	2.51e-02	7.35e-03	2.75	-3.072285	0.15910732	LSM12	LSM12 homolog
207911_s_at	2.51e-02	7.35e-03	2.75	-3.072292	0.56053433	TGM5	transglutaminase 5
232894_at	2.51e-02	7.35e-03	-2.75	-3.07267	-0.98791014	SEC14L2	SEC14 like lipid binding 2
229126_at	2.51e-02	7.36e-03	-2.75	-3.073527	-0.26306913	TMEM19	transmembrane protein 19
242272_at	2.51e-02	7.36e-03	-2.75	-3.074019	-0.33070367	ZNF785	zinc finger protein 785
214650_x_at	2.51e-02	7.36e-03	-2.75	-3.074288	-0.68139137	MOG	myelin oligodendrocyte glycoprotein
31835_at	2.51e-02	7.36e-03	2.75	-3.074318	0.52107574	HRG	histidine rich glycoprotein
206451_at	2.51e-02	7.37e-03	-2.75	-3.074436	-0.22041373	TBCCD1	TBCC domain containing 1
233202_at	2.52e-02	7.37e-03	2.75	-3.074892	1.07881526	CNTNAP3	contactin associated protein-like 3
1556573_s_at	2.52e-02	7.37e-03	2.75	-3.075097	0.58138061	LOC286178	uncharacterized LOC286178
214264_s_at	2.52e-02	7.37e-03	2.75	-3.075183	0.32938762	EFCAB11	EF-hand calcium binding domain 11
218055_s_at	2.52e-02	7.38e-03	2.75	-3.075827	0.33174827	WDR41	WD repeat domain 41
206340_at	2.52e-02	7.38e-03	-2.75	-3.076445	-0.80238121	NR1H4	nuclear receptor subfamily 1 group H member 4
222162_s_at	2.52e-02	7.39e-03	-2.75	-3.077004	-0.99568285	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
228929_at	2.52e-02	7.40e-03	-2.75	-3.078032	-0.50864924	DNASE1	deoxyribonuclease 1
221681_s_at	2.52e-02	7.40e-03	2.75	-3.078041	0.42274965	DSPP	dentin sialophosphoprotein
227229_at	2.52e-02	7.40e-03	-2.75	-3.078451	-0.2306353	VPS53	VPS53, GARP complex subunit
1553039_a_at	2.52e-02	7.40e-03	-2.75	-3.078767	-0.37210245	ASB10	ankyrin repeat and SOCS box containing 10
224297_s_at	2.53e-02	7.42e-03	2.75	-3.080915	0.57746277	SPTBN4	spectrin beta, non-erythrocytic 4
1567284_at	2.53e-02	7.42e-03	-2.75	-3.081448	-0.71829402	OR1J4	olfactory receptor family 1 subfamily J member 4
227074_at	2.53e-02	7.43e-03	-2.75	-3.082218	-0.35536956	CCDC18-AS1	CCDC18 antisense RNA 1
1559595_at	2.53e-02	7.43e-03	-2.75	-3.082295	-0.50689578	LOC728084	uncharacterized LOC728084
1561303_at	2.53e-02	7.43e-03	-2.75	-3.082801	-0.44351849	LINC01568	long intergenic non-protein coding RNA 1568
213420_at	2.54e-02	7.45e-03	-2.74	-3.084811	-0.52524593	DHX57	DEAH-box helicase 57
1561061_at	2.54e-02	7.45e-03	-2.74	-3.084891	-0.36432889	LOC729506	uncharacterized LOC729506
201119_s_at	2.54e-02	7.46e-03	2.74	-3.08617	0.18013981	COX8A	cytochrome c oxidase subunit 8A
205148_s_at	2.54e-02	7.48e-03	2.74	-3.087871	0.96229851	CLCN4	chloride voltage-gated channel 4
209448_at	2.55e-02	7.50e-03	2.74	-3.090379	0.28170558	HTATIP2	HIV-1 Tat interactive protein 2
1556505_at	2.56e-02	7.52e-03	-2.74	-3.092763	-0.59797857	LINC00605	long intergenic non-protein coding RNA 605
243430_at	2.56e-02	7.52e-03	2.74	-3.092887	0.43076051	SEZ6	seizure related 6 homolog
1552980_at	2.56e-02	7.52e-03	2.74	-3.093132	0.42565086	HAS3	hyaluronan synthase 3
209271_at	2.56e-02	7.52e-03	-2.74	-3.093257	-0.15714688	BPTF	bromodomain PHD finger transcription factor
1557303_at	2.56e-02	7.52e-03	-2.74	-3.093426	-0.24084268	NT5C	5', 3'-nucleotidase, cytosolic
208828_at	2.56e-02	7.53e-03	-2.74	-3.094205	-0.20294951	POLE3	DNA polymerase epsilon 3, accessory subunit
234868_s_at	2.57e-02	7.55e-03	2.74	-3.096896	0.86836795	GFRA4	GDNF family receptor alpha 4
241146_at	2.57e-02	7.55e-03	-2.74	-3.097144	-0.95351128	MAGI2-AS2	MAGI2 antisense RNA 2
203826_s_at	2.57e-02	7.56e-03	-2.74	-3.09754	-0.23513801	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
206516_at	2.57e-02	7.56e-03	2.74	-3.098061	0.89258659	MIR4321///AMH	microRNA 4321///anti-Mullerian hormone
231954_at	2.57e-02	7.57e-03	-2.74	-3.098813	-0.26357559	MIR4453///DKFZP434I0714	microRNA 4453///uncharacterized protein DKFZP434I0714
206420_at	2.57e-02	7.58e-03	2.74	-3.100409	0.35372948	IGSF6	immunoglobulin superfamily member 6
230010_at	2.57e-02	7.58e-03	2.74	-3.100617	0.73521767	SRRM4	serine/arginine repetitive matrix 4
230262_at	2.58e-02	7.59e-03	-2.74	-3.101722	-0.34018375	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
202764_at	2.58e-02	7.60e-03	-2.74	-3.10202	-0.18159024	STIM1	stromal interaction molecule 1
203984_s_at	2.58e-02	7.60e-03	2.74	-3.10217	0.20587475	CASP9	caspase 9
222980_at	2.58e-02	7.61e-03	2.74	-3.103214	0.19372271	RAB10	RAB10, member RAS oncogene family
203103_s_at	2.58e-02	7.61e-03	2.74	-3.103514	0.21314098	PRPF19	pre-mRNA processing factor 19
212652_s_at	2.58e-02	7.61e-03	-2.74	-3.104167	-0.15898307	SNX4	sorting nexin 4
205728_at	2.58e-02	7.62e-03	-2.74	-3.104403	-0.3806337	TENM1	teneurin transmembrane protein 1
226977_at	2.58e-02	7.62e-03	-2.74	-3.104612	-0.41889998	IGIP	IgA inducing protein
225593_at	2.58e-02	7.62e-03	2.74	-3.105261	0.16018199	LSM10	LSM10, U7 small nuclear RNA associated
219238_at	2.58e-02	7.62e-03	2.74	-3.105465	0.24405764	PIGV	phosphatidylinositol glycan anchor biosynthesis class V
206362_x_at	2.58e-02	7.63e-03	2.74	-3.105603	0.26575612	MAP3K10	mitogen-activated protein kinase kinase kinase 10
222468_at	2.58e-02	7.63e-03	2.74	-3.105647	0.32442704	KIAA0319L	KIAA0319 like
218024_at	2.58e-02	7.63e-03	2.74	-3.105953	0.18462434	MPC1	mitochondrial pyruvate carrier 1
231154_x_at	2.58e-02	7.63e-03	-2.74	-3.106008	-0.52404245	TINAG	tubulointerstitial nephritis antigen
233514_x_at	2.59e-02	7.64e-03	-2.74	-3.106719	-0.75614029	TEX11	testis expressed 11
244655_at	2.59e-02	7.65e-03	-2.74	-3.107985	-0.54229178	LOC100507311	uncharacterized LOC100507311
205412_at	2.59e-02	7.65e-03	2.74	-3.108135	0.2162048	ACAT1	acetyl-CoA acetyltransferase 1
239127_at	2.59e-02	7.66e-03	2.73	-3.109166	0.50334732	LOC100288860	uncharacterized LOC100288860
228085_at	2.59e-02	7.66e-03	-2.73	-3.109519	-0.58545612	MMP25-AS1	MMP25 antisense RNA 1
1553237_x_at	2.59e-02	7.66e-03	2.73	-3.109785	0.73008654	PCDHAC1	protocadherin alpha subfamily C, 1
230366_at	2.59e-02	7.66e-03	-2.73	-3.110017	-0.51786489	LINC01431	long intergenic non-protein coding RNA 1431
232209_x_at	2.59e-02	7.66e-03	2.73	-3.110028	0.30236162	HM13	histocompatibility minor 13
209397_at	2.59e-02	7.66e-03	2.73	-3.110039	0.20920726	ME2	malic enzyme 2
225454_at	2.59e-02	7.67e-03	2.73	-3.110647	0.37030741	CCDC124	coiled-coil domain containing 124
212144_at	2.59e-02	7.67e-03	-2.73	-3.111073	-0.21848289	SUN2	Sad1 and UNC84 domain containing 2
213967_at	2.60e-02	7.69e-03	2.73	-3.113635	0.73956032	RALYL	RALY RNA binding protein-like
230718_at	2.60e-02	7.70e-03	-2.73	-3.114243	-0.44767087	HSF5	heat shock transcription factor 5
234698_at	2.60e-02	7.71e-03	-2.73	-3.11504	-0.43475197	N6AMT1	N-6 adenine-specific DNA methyltransferase 1 (putative)
226805_at	2.61e-02	7.71e-03	-2.73	-3.11593	-0.23928871	FITM2	fat storage inducing transmembrane protein 2
1560101_at	2.61e-02	7.72e-03	-2.73	-3.116496	-0.85711262	SYDE2	synapse defective Rho GTPase homolog 2
210334_x_at	2.61e-02	7.73e-03	2.73	-3.117815	0.53807148	BIRC5	baculoviral IAP repeat containing 5
229887_at	2.61e-02	7.73e-03	-2.73	-3.118136	-0.25160893	ALS2CL	ALS2 C-terminal like
1556222_at	2.61e-02	7.74e-03	-2.73	-3.118487	-0.51773194	SEPT7P9	septin 7 pseudogene 9
217752_s_at	2.61e-02	7.74e-03	2.73	-3.118958	0.21618213	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
228779_at	2.61e-02	7.74e-03	-2.73	-3.119269	-0.28671959	LOC146880	Rho GTPase activating protein 27 pseudogene
1565849_a_at	2.62e-02	7.78e-03	-2.73	-3.123093	-0.75063297	SRRM5	serine/arginine repetitive matrix 5
210428_s_at	2.63e-02	7.78e-03	2.73	-3.123593	0.15270885	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
209357_at	2.63e-02	7.80e-03	2.73	-3.126313	0.3192231	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
35436_at	2.63e-02	7.81e-03	2.73	-3.126584	0.20686057	GOLGA2	golgin A2
221559_s_at	2.63e-02	7.81e-03	-2.73	-3.126783	-0.21051064	MIS12	MIS12, kinetochore complex component
238058_at	2.63e-02	7.81e-03	2.73	-3.12753	0.19852072	PRR34-AS1	PRR34 antisense RNA 1
223731_at	2.64e-02	7.83e-03	-2.73	-3.129093	-0.96083604	MYCBPAP	MYCBP associated protein
1558388_a_at	2.64e-02	7.84e-03	-2.73	-3.130059	-0.88112727	UG0898H09	uncharacterized LOC643763
1553901_x_at	2.64e-02	7.84e-03	-2.73	-3.130092	-0.26325088	ZNF486	zinc finger protein 486
219431_at	2.64e-02	7.84e-03	2.73	-3.13055	0.27475432	ARHGAP10	Rho GTPase activating protein 10
202461_at	2.64e-02	7.84e-03	2.73	-3.130586	0.20372446	EIF2B2	eukaryotic translation initiation factor 2B subunit beta
228922_at	2.64e-02	7.85e-03	-2.73	-3.131422	-0.69417278	SHF	Src homology 2 domain containing F
1558292_s_at	2.65e-02	7.85e-03	-2.73	-3.132071	-0.35328323	PIGW	phosphatidylinositol glycan anchor biosynthesis class W
217902_s_at	2.65e-02	7.87e-03	-2.73	-3.133284	-0.20392208	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
1558906_a_at	2.65e-02	7.87e-03	-2.73	-3.133585	-0.35883278	OSER1-AS1	OSER1 antisense RNA 1 (head to head)
218915_at	2.65e-02	7.88e-03	2.72	-3.135444	0.21214099	NF2	neurofibromin 2
227650_at	2.65e-02	7.89e-03	2.72	-3.135802	0.15786066	HSPA14	heat shock protein family A (Hsp70) member 14
242837_at	2.65e-02	7.89e-03	-2.72	-3.13609	-0.30921844	SRSF4	serine and arginine rich splicing factor 4
1553990_at	2.66e-02	7.89e-03	-2.72	-3.136492	-0.25848721	BRICD5	BRICHOS domain containing 5
207377_at	2.66e-02	7.91e-03	2.72	-3.138866	0.39530439	PPP1R2P9	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9
212553_at	2.66e-02	7.91e-03	-2.72	-3.138892	-0.40527592	RPRD2	regulation of nuclear pre-mRNA domain containing 2
208251_at	2.66e-02	7.93e-03	-2.72	-3.140125	-0.75321533	KCNC4	potassium voltage-gated channel subfamily C member 4
203444_s_at	2.67e-02	7.93e-03	2.72	-3.140358	0.68918333	MTA2	metastasis associated 1 family member 2
218698_at	2.67e-02	7.93e-03	2.72	-3.141082	0.2226086	APIP	APAF1 interacting protein
218389_s_at	2.67e-02	7.94e-03	-2.72	-3.141328	-0.20024609	APH1A	aph-1 homolog A, gamma-secretase subunit
231012_at	2.67e-02	7.95e-03	-2.72	-3.14288	-0.23459474	SLC35G1	solute carrier family 35 member G1
213925_at	2.67e-02	7.96e-03	-2.72	-3.143805	-0.55731357	STUM	stum, mechanosensory transduction mediator homolog
218358_at	2.67e-02	7.96e-03	2.72	-3.144148	0.40516237	CRELD2	cysteine rich with EGF like domains 2
213324_at	2.67e-02	7.96e-03	-2.72	-3.144356	-0.67872879	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
212112_s_at	2.68e-02	7.97e-03	2.72	-3.145153	0.2587589	STX12	syntaxin 12
218860_at	2.68e-02	7.97e-03	2.72	-3.145597	0.32854433	NOC4L	nucleolar complex associated 4 homolog
205216_s_at	2.68e-02	7.98e-03	-2.72	-3.145851	-0.77343313	APOH	apolipoprotein H
231870_s_at	2.68e-02	7.98e-03	-2.72	-3.146462	-0.19385283	NMD3	NMD3 ribosome export adaptor
237304_at	2.68e-02	7.99e-03	2.72	-3.147006	0.79875677	SYCE2	synaptonemal complex central element protein 2
225460_at	2.68e-02	7.99e-03	-2.72	-3.147619	-0.20618682	SEC22C	SEC22 homolog C, vesicle trafficking protein
217961_at	2.68e-02	7.99e-03	-2.72	-3.147818	-0.26082741	SLC25A38	solute carrier family 25 member 38
206013_s_at	2.68e-02	8.00e-03	2.72	-3.148698	0.5845788	ACTL6B	actin like 6B
226875_at	2.69e-02	8.01e-03	2.72	-3.149742	0.19461312	DOCK11	dedicator of cytokinesis 11
40020_at	2.69e-02	8.02e-03	-2.72	-3.150565	-0.26850661	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
207217_s_at	2.69e-02	8.02e-03	-2.72	-3.150677	-0.68269941	NOX1	NADPH oxidase 1
224049_at	2.69e-02	8.03e-03	-2.72	-3.151741	-0.22484985	KCNK17	potassium two pore domain channel subfamily K member 17
213239_at	2.69e-02	8.04e-03	-2.72	-3.152982	-0.19429605	PIBF1	progesterone immunomodulatory binding factor 1
219487_at	2.70e-02	8.05e-03	-2.72	-3.153838	-0.38517712	BBS10	Bardet-Biedl syndrome 10
1554992_at	2.70e-02	8.06e-03	2.72	-3.154992	0.65365396	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
244699_at	2.71e-02	8.09e-03	-2.71	-3.158784	-0.74243532	AHI1	Abelson helper integration site 1
219329_s_at	2.71e-02	8.10e-03	2.71	-3.159559	0.13787924	ATRAID	all-trans retinoic acid induced differentiation factor
212426_s_at	2.71e-02	8.10e-03	-2.71	-3.16005	-0.22441449	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
217512_at	2.71e-02	8.11e-03	-2.71	-3.160415	-0.81282395	KNG1	kininogen 1
223407_at	2.72e-02	8.11e-03	2.71	-3.161197	0.73488628	ENKD1	enkurin domain containing 1
1560255_at	2.72e-02	8.11e-03	2.71	-3.161231	0.35793808	CELF2-AS1	CELF2 antisense RNA 1
232828_at	2.72e-02	8.12e-03	2.71	-3.16195	0.36716611	NALCN-AS1	NALCN antisense RNA 1
225128_at	2.72e-02	8.12e-03	-2.71	-3.161987	-0.41769553	KDELC2	KDEL motif containing 2
1555844_s_at	2.72e-02	8.12e-03	-2.71	-3.162087	-0.11577592	HNRNPM	heterogeneous nuclear ribonucleoprotein M
206019_at	2.72e-02	8.13e-03	-2.71	-3.16293	-0.37567867	RBM19	RNA binding motif protein 19
218043_s_at	2.72e-02	8.13e-03	-2.71	-3.162974	-0.48515331	AZI2	5-azacytidine induced 2
218548_x_at	2.72e-02	8.13e-03	2.71	-3.163171	0.25159494	TEX264	testis expressed 264
230133_at	2.72e-02	8.14e-03	-2.71	-3.164183	-0.31570908	RC3H2	ring finger and CCCH-type domains 2
227049_at	2.72e-02	8.14e-03	-2.71	-3.164347	-0.25505664	ZADH2	zinc binding alcohol dehydrogenase domain containing 2
232368_at	2.73e-02	8.15e-03	-2.71	-3.165709	-0.46159623	TRAPPC3L	trafficking protein particle complex 3 like
230080_at	2.73e-02	8.16e-03	2.71	-3.1664	0.95325751	HOXA-AS2	HOXA cluster antisense RNA 2
219426_at	2.73e-02	8.16e-03	-2.71	-3.166418	-0.17291083	AGO3	argonaute 3, RISC catalytic component
215978_x_at	2.73e-02	8.16e-03	-2.71	-3.166638	-0.41114959	ZNF721	zinc finger protein 721
228403_at	2.73e-02	8.18e-03	-2.71	-3.168591	-0.77513819	ENHO	energy homeostasis associated
208487_at	2.73e-02	8.18e-03	2.71	-3.168887	0.66863945	LMX1B	LIM homeobox transcription factor 1 beta
218056_at	2.73e-02	8.19e-03	-2.71	-3.169569	-0.17178162	BFAR	bifunctional apoptosis regulator
47069_at	2.74e-02	8.21e-03	-2.71	-3.171326	-0.27044488	PRR5	proline rich 5
220746_s_at	2.74e-02	8.21e-03	2.71	-3.172054	0.15819229	UIMC1	ubiquitin interaction motif containing 1
226727_at	2.74e-02	8.22e-03	2.71	-3.172597	0.20624074	CISD3	CDGSH iron sulfur domain 3
1561472_at	2.74e-02	8.22e-03	-2.71	-3.172822	-0.72534731	LOC728805	uncharacterized LOC728805
200610_s_at	2.75e-02	8.24e-03	-2.71	-3.175209	-0.2417063	NCL	nucleolin
1562546_at	2.75e-02	8.24e-03	-2.71	-3.175482	-0.4501945	LOC101930657	uncharacterized LOC101930657
1570239_a_at	2.75e-02	8.26e-03	2.71	-3.177292	0.79607561	CLNK	cytokine dependent hematopoietic cell linker
209391_at	2.76e-02	8.27e-03	2.71	-3.178107	0.22548048	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory
232211_at	2.76e-02	8.27e-03	2.71	-3.178331	0.64038033	PPP1R3F	protein phosphatase 1 regulatory subunit 3F
239837_at	2.76e-02	8.28e-03	-2.71	-3.179044	-0.61881168	ADAM11	ADAM metallopeptidase domain 11
242005_at	2.76e-02	8.28e-03	-2.71	-3.179479	-1.04276673	LINC00973	long intergenic non-protein coding RNA 973
223148_at	2.76e-02	8.29e-03	2.71	-3.18024	0.24578097	PIGS	phosphatidylinositol glycan anchor biosynthesis class S
227374_at	2.76e-02	8.29e-03	-2.71	-3.180516	-0.67185741	EARS2	glutamyl-tRNA synthetase 2, mitochondrial
220505_at	2.76e-02	8.30e-03	2.71	-3.181679	0.70978972	CDKN2A-AS1	CDKN2A antisense RNA 1 (head to head)
218592_s_at	2.77e-02	8.32e-03	2.71	-3.183347	0.22280847	CECR5	cat eye syndrome chromosome region, candidate 5
228868_x_at	2.77e-02	8.32e-03	2.70	-3.183497	0.62892638	CDT1	chromatin licensing and DNA replication factor 1
201536_at	2.77e-02	8.32e-03	2.70	-3.18354	0.32885008	DUSP3	dual specificity phosphatase 3
1561122_a_at	2.77e-02	8.33e-03	-2.70	-3.184787	-0.64099359	RAD51B	RAD51 paralog B
243495_s_at	2.77e-02	8.34e-03	2.70	-3.185615	0.54989701	ZNF652	zinc finger protein 652
228268_at	2.77e-02	8.34e-03	-2.70	-3.185815	-0.43322767	FMO2	flavin containing monooxygenase 2
227255_at	2.77e-02	8.34e-03	-2.70	-3.18583	-0.25331396	PDIK1L	PDLIM1 interacting kinase 1 like
1552863_a_at	2.78e-02	8.35e-03	2.70	-3.186553	0.20541839	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6
200850_s_at	2.78e-02	8.35e-03	-2.70	-3.187309	-0.15673425	AHCYL1	adenosylhomocysteinase like 1
209296_at	2.78e-02	8.36e-03	2.70	-3.188133	0.20571632	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B
231129_at	2.79e-02	8.38e-03	2.70	-3.189883	0.35477643	MCHR2-AS1	MCHR2 antisense RNA 1
227569_at	2.79e-02	8.38e-03	-2.70	-3.190221	-0.29793068	LNX2	ligand of numb-protein X 2
209759_s_at	2.79e-02	8.38e-03	2.70	-3.190323	0.27471255	ECI1	enoyl-CoA delta isomerase 1
205769_at	2.79e-02	8.41e-03	2.70	-3.192802	0.45820363	SLC27A2	solute carrier family 27 member 2
228558_at	2.79e-02	8.41e-03	2.70	-3.19353	0.53221704	C14orf80	chromosome 14 open reading frame 80
230624_at	2.79e-02	8.41e-03	-2.70	-3.193752	-0.7223753	SLC25A27	solute carrier family 25 member 27
223439_at	2.80e-02	8.42e-03	2.70	-3.194045	0.20071803	NKAP	NFKB activating protein
201714_at	2.80e-02	8.43e-03	2.70	-3.195424	0.29143787	TUBG1	tubulin gamma 1
214100_x_at	2.80e-02	8.43e-03	-2.70	-3.195499	-0.29480103	NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 1
205205_at	2.80e-02	8.44e-03	2.70	-3.196044	0.27422452	RELB	RELB proto-oncogene, NF-kB subunit
202051_s_at	2.80e-02	8.44e-03	-2.70	-3.196319	-0.15136601	ZMYM4	zinc finger MYM-type containing 4
240572_s_at	2.80e-02	8.44e-03	-2.70	-3.196383	-0.25458396	LOC374443	C-type lectin domain family 2 member D pseudogene
